CÓDIGO RENIPRESS,lat,lon
00007098,-6.41464,-78.88973
00006938,-6.41992,-78.85979
00015233,-6.3830811,-78.8188815
00025514,-6.38380407,-78.81638672
00006857,-6.37374167,-78.80939333
00007431,-6.41015039,-78.86648047
00007368,-6.21304476,-78.89123269
00004963,-6.16631265,-78.84598893
00004964,-6.04762726,-78.89922906
00004960,-6.237438,-78.8966399
00006867,-6.07393899,-78.80657398
00005010,-6.24607795,-79.0702462
00005029,-6.164306,-78.597963
00006870,-6.26656,-78.59764
00006861,-6.27389694,-78.86584968
00007750,-6.11793846,-78.65473339
00011065,-6.15473195,-78.72370578
00005032,-6.22723,-78.65236
00005043,-6.2803407,-78.6498569
00007751,-6.21081643,-78.63262268
00005019,-6.001959,-78.697265
00027422,-6.68099319,-78.51974258
00007031,-6.65879934,-78.58154696
00004799,-6.88205908,-78.43994687
00004791,-6.7471856,-78.52718093
00004795,-6.63817821,-78.57657141
00004789,-6.77354933,-78.51362816
00004788,-6.64667331,-78.45846225
00004787,-6.58148,-78.44016
00004784,-6.76431303,-78.47826373
00007714,-6.6692775,-78.57246539
00006815,-6.67878577,-78.5172716
00004808,-6.6826205,-78.61619448
00004811,-6.71492291,-78.59718803
00037103,-5.7039287,-78.8038162
00034803,-5.7094412,-78.7986181
00034569,-5.70868619,-78.8088689
00032614,-5.70953793,-78.79800378
00030976,-5.7121265,-78.8028046
00004215,-5.7094412,-78.7986181
00025115,-5.70818187,-78.80368904
00015978,-7.29251322,-78.49514453
00030456,-5.707345,-78.8100043
00004219,-5.8540514,-78.91296213
00015972,-5.7119091,-78.8095077
00029321,-5.7066181,-78.805023
00029315,-5.7072801,-78.8057389
00018951,-5.705536,-78.803298
00010007,-5.86725878,-78.92747235
00024692,-5.52655,-78.93232
00004228,-5.5699229,-78.8173812
00004225,-5.4501047,-78.8347139
00004240,-6.0071061,-78.8632941
00004246,-5.64718046,-78.86111324
00004251,-5.54318665,-79.3473879
00004258,-5.50924276,-79.00988244
00004266,-5.37288384,-78.5803463
00004263,-5.41291418,-78.52607391
00029211,-5.14229295,-78.99713809
00010299,-5.14614096,-79.0010709
00016135,-5.31742682,-78.92558429
